en_us	pt_BR
My body will be the truth.	Meu corpo será a verdade.
And the light will guide her.	E a luz a guiará.
(My heart, my head, my mind!).	(Meu coração, minha cabeça, minha mente!).
Twisted body parts moving synchronized.	Partes do corpo torcidas movendo-se em sincronia.
Watching lightning strike in my lover's eyes.	Vendo um raio cair nos olhos do meu amante.
All the flowers grow to a luscious field.	Todas as flores crescem em um campo exuberante.
All connecting love becomes a human shield.	Todo amor conectado se torna um escudo humano.
Half The World Away	Meio Mundo de Distância
I would like to leave this city.	Eu gostaria de deixar esta cidade.
This old town don't smell too pretty and.	Esta velha cidade não cheira bem e.
I can feel the warning signs running around my mind.	Eu posso sentir os sinais de alerta me rondando.
And when I leave this island.	E quando eu deixar esta ilha.
I book myself into a soul asylum.	Eu irei para um asilo de almas.
I can feel the warning signs running around my mind.	Eu posso sentir os sinais de alerta me rondando.
So here I go.	Então aqui vou eu.
I'm still scratching around in the same old hole.	Eu ainda estou cavando o mesmo velho buraco.
My body feels young, but my mind is very old.	Meu corpo parece jovem, mas minha mente é muito velha.
So what do you say?.	Então o que você diz?.
You can't give me the dreams that are mine anyway.	Você não pode me dar os sonhos que são meus de qualquer maneira.
You're half the world away.	Você está a meio mundo de distância.
You're half the world away.	Você está a meio mundo de distância.
And when I leave this planet.	E quando eu deixar este planeta.
You know I'd stay, but I just can't stand it and.	Você sabe que eu ficaria, mas eu simplesmente não suporto e.
I can feel the warning signs running around my mind.	Eu posso sentir os sinais de alerta me rondando.
And if I can leave this spirit.	E se eu puder sair desse espírito.
I'll find me a home and I'll live in it and.	Vou encontrar uma casa e eu vou viver nela e.
I can feel the warning signs running around my mind.	Eu posso sentir os sinais de alerta me rondando.
So here I go.	Então aqui vou eu.
I'm still scratching around in the same old hole.	Eu ainda estou cavando o mesmo velho buraco.
My body feels young, but my mind is very old.	Meu corpo parece jovem, mas minha mente é muito velha.
So what do you say?.	Então o que você diz?.
You can't give me the dreams that are mine anyway.	Você não pode me dar os sonhos que são meus de qualquer maneira.
You're half the world away.	Você está a meio mundo de distância.
You're half the world away.	Você está a meio mundo de distância.
You're half the world away.	Você está a meio mundo de distância.
I've been lost, I've been found.	Eu estive perdida, eu fui encontrada.
But I don't feel down.	Mas não me sinto triste.
You're half the world away.	Você está a meio mundo de distância.
I've been lost, I've been found.	Eu estive perdida, eu fui encontrada.
But I don't feel down.	Mas não me sinto triste.
I don't feel down.	Não me sinto triste.
(I don't feel down).	(Não me sinto triste).
Home	Casa
Lost in the moments again.	Perdida em momentos novamente.
Stuck where the road has no end.	Presa onde a estrada não termina.
Keeping the thought in our minds.	Mantendo o pensamento em nossas mentes.
One day life will be kind.	Um dia a vida irá ser gentil.
We are not alive.	Nós não estamos vivos.
We are surviving every time.	Nós estamos sobrevivendo a cada hora.
We are not alive.	Nós não estamos vivos.
Only dreams inside our minds.	Apenas sonhos dentro de nossas mentes.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
Endless days of complaints.	Dias intermináveis de reclamações.
Forcing the light to our veins.	Forçando a luz para nossas veias.
Keeping the hope in our minds.	Mantendo a esperança em nossas mentes.
One day life will be kind.	Um dia a vida irá ser gentil.
We are not alive.	Nós não estamos vivos.
We are surviving every time.	Nós estamos sobrevivendo a cada hora.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
Wrapped inside a cocoon made of flesh and bones.	Envolvido dentro de um casulo feito de carne e ossos.
Doesn't really matter where you come from.	Realmente não importa de onde você vem.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
Come again, come, come, come again.	Venha novamente, venha, venha, venha novamente.
I feel warm again, I'm reborn again.	Eu me sinto quente novamente, eu renasci novamente.
I am warm inside for a little while.	Estou quente por dentro por pouco tempo.
I am fine.	Eu estou bem.
We are not alive.	Nós não estamos vivos.
We are surviving every time.	Nós estamos sobrevivendo a cada hora.
Wrapped inside a cocoon made of flesh and bones.	Envolvido dentro de um casulo feito de carne e ossos.
Doesn't really matter where you come from.	Realmente não importa de onde você vem.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
Wrapped inside a cocoon made of flesh and bones.	Envolvido dentro de um casulo feito de carne e ossos.
Doesn't really matter where you come from.	Realmente não importa de onde você vem.
We are home.	Nós estamos em casa.
We are home.	Nós estamos em casa.
Home.	Casa.
Hunger	Fome
I've been born for sometime.	Eu nasci faz um tempo.
And I got death on my mind.	E eu penso na morte.
Come and follow me (ah).	Venha e me siga (ah).
Away from the nightlife.	Pra longe da vida noturna.
Sleeping in nirvana.	Dormindo em nirvana.
And I will long for the gutter.	E eu vou esperar a prisão.
When I'm in your arms (ah).	Quando estou em seus braços (ah).
I long for my freedom (ah).	Eu espero minha liberdade (ah).
In many ways, we're not the same, but in some ways, we are.	De muitas formas, não somos o mesmo, mas em algumas, nós somos.
Looking for something new in the skin of an avatar.	Procurando por algo novo na pele de um avatar.
All we ever had is hunger (hunger, hunger).	O que sempre tivemos foi fome (fome, fome).
All we never get is power (hunger, hunger).	O que nunca temos é poder (fome, fome).
Would you ever feed each other?.	Vocês se alimentariam?.
Eh-oh-eh-oh (do we ever have power?).	Eh-oh-eh-oh (já tivemos poder?).
All we ever had is hunger.	O que sempre tivemos foi fome.
Hunger, oh.	Fome, oh.
Your body is a garden.	Seu corpo é um jardim.
Cared for or forgotten.	Cuidado ou esquecido.
Kill me with medicine.	Me mate com remédios.
Heal me with poison.	Me cure com veneno.
Imagine all the naked people under work machines.	Imagine todas as pessoas nus sob as maquinas de trabalho.
If I could not open my mouth, then would you talk for me?.	Se eu não pudesse abrir a boca, você falaria por mim?.
All we ever had is hunger (hunger, hunger).	O que sempre tivemos foi fome (fome, fome).
All we never get is power (hunger, hunger, oh).	O que nunca temos é poder (fome, fome, oh).
Would you ever feed each other?.	Vocês se alimentariam?.
Eh-oh-eh-oh (do we ever have power?).	Eh-oh-eh-oh (já tivemos poder?).
All we ever had is hunger.	O que sempre tivemos foi fome.
Hunger, oh.	Fome, oh.
A-yo, a-yo, a-yo.	A-yo, a-yo, a-yo.
Oh, a-yo.	Oh, a-yo.
A-yo, a-yo, a-yo (hunger).	A-yo, a-yo, a-yo (fome).
A-yo, a-yo, a-yo.	A-yo, a-yo, a-yo.
Oh, a-yo.	Oh, a-yo.
A-yo, a-yo, a-yo (hunger).	A-yo, a-yo, a-yo (fome).
All we ever had is hunger (hunger, hunger, oh).	O que sempre tivemos foi fome (fome, fome, oh).
All we never get is power (hunger, hunger, oh).	O que nunca temos é poder (fome, fome, oh).
Would you ever feed each other?.	Vocês se alimentariam?.
Eh-oh-eh-oh (do we ever have power?).	Eh-oh-eh-oh (já tivemos poder?).
All we ever had is hunger.	O que sempre tivemos foi fome.
Hunger, oh.	Fome, oh.
Hunger.	Fome.
Oh, oh.	Oh, oh.
Hunger.	Fome.
I Had a Dream	Eu Tive Um Sonho
Tonight I had a dream that we were fighting.	Esta noite eu tive um sonho que estávamos lutando.
Cause we had different ways in wrong rhyme.	Porque nós tínhamos maneiras diferentes na rima errada.
And as the words went out and you were shouting.	E como as palavras saíram e você estava gritando.
I saw there would be no peace in here tonight.	Eu vi que não haveria paz aqui hoje à noite.
Then I dreamt we both lost in the end.	Então sonhei que ambos perdemos no final.
Well, you proved your point but now you've lost a friend.	Bem, você provou o seu ponto, mas agora você perdeu um amigo.
The light we used to live has reached the end.	A luz que costumávamos viver chegou ao fim.
And we both want to smile back, though I pretend.	E nós dois queremos sorrir de volta, embora eu finja.
Oh I pretend.	Oh eu finjo.
Ah, oh I had a dream.	Ah, oh, eu tive um sonho.
I had a dream.	Eu tive um sonho.
But it all just seemed so real.	Mas tudo parecia tão real.
But it all seems to be longing for this glory.	Mas tudo parece ser anseio por esta glória.
To get fame and fortune of our own.	Para obter fama e fortuna da nossa.
But will we, in the end, be satisfied.	Mas será que, no final, estaremos satisfeitos.
When we're living in our glory, all alone?.	Quando estamos vivendo em nossa glória, sozinhos?.
And this night I had a dream that we were running.	E esta noite eu tive um sonho que estávamos correndo.
Running far away from our mistakes.	Correndo longe de nossos erros.
We were blaming others for the wrongs we made.	Estávamos culpando os outros pelos erros que fizemos.
And then we were down, you see, we've lost the one we paid.	E depois fomos para baixo, você vê, nós perdemos o que pagamos.
Ah, oh I had a dream.	Ah, oh, eu tive um sonho.
I had a dream.	Eu tive um sonho.
Oh, I had this dream.	Oh, eu tive esse sonho.
But it all just seemed so real.	Mas tudo parecia tão real.
One night I had a dream a man came to this woman.	Uma noite eu tive um sonho que um homem veio a esta mulher.
She was standing in the way and he was drunk.	Ela estava parada no caminho e ele estava bêbado.
And every Monday morning she was frightened.	E toda segunda-feira de manhã ela estava assustada.
When the man drove far away inside his truck.	Quando o homem dirigiu para longe dentro de seu caminhão.
But tonight I had a dream that we were just watching.	Mas esta noite eu tive um sonho que estávamos assistindo.
All devastating things this world came at.	Todas as coisas devastadoras que este mundo.
We could feel the lightness way over here.	Podemos sentir a leveza aqui.
But when it didn't us concern, we didn't care.	Mas quando não nos preocupava, não nos importamos.
No we wouldn't lift a finger for the lost ones.	Não, nós não levantaríamos um dedo para os perdidos.
We wouldn't give money to the poor.	Não damos dinheiro aos pobres.
Our happiness has come in shape of gold.	Nossa felicidade veio em forma de ouro.
And we forget what's truly worth living for.	E nós esquecemos o que realmente vale a pena viver para.
Ah, I had a dream.	Ah, eu tive um sonho.
I had a dream.	Eu tive um sonho.
Oh, I had this dream.	Oh, eu tive esse sonho.
But it all just seemed so real.	Mas tudo parecia tão real.
It seemed so real.	Parecia tão real.
Just seemed so real.	Parecia tão real.
It seemed so real.	Parecia tão real.
I have these dreams and they seem so real.	Eu tenho esses sonhos e eles parecem tão reais.
And they seem so much more to me than just dreams.	E eles parecem muito mais para mim do que apenas sonhos.
I Went Too Far	Eu Fui Longe Demais
I went too far when I was begging on my knees.	Eu fui longe demais quando estava implorando de joelhos.
Begging for your arms, for you to hold them around me.	Implorando por seus braços, para que você me abraçasse.
I went too far and kissed the ground beneath your feet.	Eu fui longe demais e beijei o chão sob seus pés.
Waiting for your love, waiting for our eyes to meet.	Esperando pelo seu amor, esperando que nossos olhos se encontrassem.
Crying give me some love, give me some love and hold me.	Pedindo que me dê um pouco de amor, me dê um pouco de amor e me abrace.
Give me some love and hold me tight.	Me dê um pouco de amor e me abrace apertado.
Oh, give me some love, give me some love and hold me.	Oh, me dê um pouco de amor, me dê um pouco de amor e me abrace.
Give me some love and hold me tight.	Me dê um pouco de amor e me abrace apertado.
And I went too far when I was begging on my knees.	Eu fui longe demais quando estava implorando de joelhos.
When I cut my hands, so you could stand and watch me bleed.	Quando eu cortei minhas mãos, para que você pudesse ficar e me ver sangrar.
I went too far and kissed the ground beneath your feet.	Eu fui longe demais e beijei o chão sob seus pés.
Standing in my blood, it was a taste of bittersweet.	De pé no meu sangue, tinha um gosto agridoce.
Crying give me some love, give me some love and hold me.	Pedindo que me dê um pouco de amor, me dê um pouco de amor e me abrace.
Give me some love and hold me tight.	Me dê um pouco de amor e me abrace apertado.
Oh, give me some love, give me some love and hold me.	Oh, me dê um pouco de amor, me dê um pouco de amor e me abrace.
Give me some love and hold me tight.	Me dê um pouco de amor e me abrace apertado.
Why can't I turn around and walk away?.	Por que não posso me virar e ir embora?.
Go back in time?.	Voltar no tempo?.
I'll have to turn around and walk away.	Terei que me virar e ir embora.
I couldn't stay, I had to walk away.	Eu não podia ficar, eu tive que ir embora.
I'm left behind with an empty hole.	Sou deixada para trás com um buraco vazio.
And everything I am is gone.	E tudo o que eu sou se foi.
I tried to reach for another soul.	Tentei encontrar uma outra alma.
So I can feel whole.	Para poder me sentir completa.
Oh, give me some love.	Oh, me dê um pouco de amor.
Oh, give me some love.	Oh, me dê um pouco de amor.
Oh, give me some love, give me some love and hold me.	Oh, me dê um pouco de amor, me dê um pouco de amor e me abrace.
Give me some love and hold me tight.	Me dê um pouco de amor e me abrace apertado.
Oh, give me some love, give me some love and hold me.	Oh, me dê um pouco de amor, me dê um pouco de amor e me abrace.
Give me some love and hold me tight.	Me dê um pouco de amor e me abrace apertado.
Why can't I turn around and walk away?.	Por que não posso me virar e ir embora?.
Go back in time?.	Voltar no tempo?.
I'll have to turn around and walk away.	Terei que me virar e ir embora.
I couldn't stay, I had to walk away.	Eu não podia ficar, eu tive que ir embora.
In Bottles	Em Garrafas
I put my tears in bottles.	Guardei minhas lágrimas em garrafas.
In case if I need them later.	Caso eu precise delas mais tarde.
You never know.	Nunca se sabe.
You never know.	Nunca se sabe.
And if I get thirsty.	E se eu tiver sede.
Will they make me sad?.	Elas vão me deixar triste?.
Forever.	Para sempre.
Forever.	Para sempre.
Oh, cover your eyes, cover your eyes.	Oh, cubra seus olhos, cubra seus olhos.
Hide me inside, under your spine.	Esconda-me dentro, sob sua espinha.
Under your spine.	Sob sua espinha.
I will kindly watch you sleep.	Gostaria de ver você dormir.
I find out that your eyes are open.	Eu descobri que seus olhos estão abertos.
I hide other pieces that you never.	Escondo outras peças que você nunca.
Would have liked if you knew about them.	Gostaria se você já os conhecesse.
So I hide my children.	Então eu escondo meus filhos.
Oh, cover your eyes, cover your eyes.	Oh, cubra seus olhos, cubra seus olhos.
Hide me inside, under your spine.	Esconda-me dentro, sob sua espinha.
Under your spine.	Sob sua espinha.
Under your spine.	Sob sua espinha.
Under your spine.	Sob sua espinha.
I watch you sleep with open.	Eu assisto você dormir com os.
I watch you sleep with open eyes.	Eu assisto você dormir com os olhos abertos.
I watch you sleep with open.	Eu assisto você dormir com os.
Oh, cover your eyes, cover your eyes.	Oh, cubra seus olhos, cubra seus olhos.
Hide me inside, under your spine.	Esconda-me dentro, sob sua espinha.
Under your spine.	Sob sua espinha.
Under your spine.	Sob sua espinha.
Down your spine.	Abaixo de sua espinha.
Down your spine.	Abaixo de sua espinha.
Down your spine.	Abaixo de sua espinha.
Down your spine.	Abaixo de sua espinha.
In Boxes	Em Caixas
Calling out for the lonely.	Chamando pelo solitário.
I'm going home.	Estou indo para casa.
I've been doing awful things again.	Eu tenho feito coisas terríveis novamente.
I hear them laughing in my head.	Eu os ouvi gargalhando em minha cabeça.
I went out in the morning looking for a man.	Eu saí de manhã à procura de um homem.
I could see you were the perfect one.	Eu pude ver que aquele era o ideal.
Standing all alone.	Estando sozinha.
I've been walking ahead for a while.	Eu estive caminhando à frente um pouco.
And dragging your body behind.	E arrastando um corpo atrás.
My baby, I had a good time.	Meu amor, eu me diverti.
My baby, I know you won't mind.	Meu amor, eu sei que não se importará.
Got them all collected in these boxes.	Tenho todos colecionados nestas caixas.
Underneath my bed.	Embaixo de minha cama.
Here I am still lonely with the souvenirs.	Aqui estou eu ainda sozinha com os presentes.
I would kill for some company.	Eu mataria por alguma companhia.
Temporally.	Temporariamente.
I did once have a lover only kept his hands.	Uma vez tive um namorado que só tinha suas mãos.
They can dance and play the songs for me.	Elas podem dançar e tocar as canções para mim.
Play until I sleep.	Tocar até eu dormir.
I've been walking ahead for a while.	Eu estive caminhando à frente um pouco.
And dragging yourbody behind.	E arrastando um corpo atrás.
My baby, I had a good time.	Meu amor, eu me diverti.
Got them all collected in these boxes.	Tenho todos colecionados nestas caixas.
Underneath my bed.	Embaixo de minha cama.
In The Night	Na Noite
All alone she was living.	Toda sozinha, ela estava vivendo.
In a world without an end or beginning.	Em um mundo sem fim ou início.
Baby girl was living life for the feeling.	A garotinha vivia a vida para aquele sentimento.
But I don't mind, I don't mind.	Mas eu não me importo, eu não me importo.
And all the wrongs she committed.	E todos os erros que ela cometeu.
She was numb and she was so co-dependent.	Ela estava dormente e ela era tão co-dependente.
She was young and all she had was the city.	Ela era jovem e tudo o que ela tinha era a cidade.
But I don't mind, I don't mind.	Mas eu não me importo, eu não me importo.
And I know that she's capable of anything, it's riveting.	E eu sei que ela é capaz de qualquer coisa, é fascinante.
But when you wake up she's always gone, gone, gone.	Mas quando você acorda, ela sempre se foi, se foi, se foi.
In the night she hears him calling.	Na noite, ela ouve ele chamando.
In the night she's dancing to relieve the pain.	Na noite, ela está dançando para aliviar a dor.
She'll never walk away (I don't think you understand).	Ela nunca vai ir embora (eu não acho que você entende).
In the night when she comes crawling.	Na noite, quando ela vem rastejando.
Dollar bills and tears keep falling down her face.	Notas de dólar e lágrimas continuam caindo pelo rosto dela.
She'll never walk away (I don't think you understand).	Ela nunca vai ir embora (eu não acho que você entende).
He sang a song when he did it.	Ele cantou uma música e quando ele fez isso.
He was cold and he was so unforgiving.	Ele era frio e ele era tão implacável.
Now she dances to the song on the minute.	Agora ela dança para a música nesse minuto.
Yeah, all the time, all the time.	Sim, o tempo todo, o tempo todo.
It made her weak when she hear it.	Deixa ela fraca quando ela escuta.
And it got her on her knees like religion.	E fez ela ficar de joelhos, como uma religião.
She was young and she was forced to be a woman.	Ela era jovem e ela foi forçada a ser uma mulher.
Yeah, all the time, all the time.	Sim, o tempo todo, o tempo todo.
And I know that she's capable of anything, it's riveting.	E eu sei que ela é capaz de qualquer coisa, é fascinante.
But when you wake up she's always gone, gone, gone.	Mas quando você acorda, ela sempre se foi, se foi, se foi.
In the night she hears him calling.	Na noite, ela ouve ele chamando.
In the night she's dancing to relieve the pain.	Na noite, ela está dançando para aliviar a dor.
She'll never walk away (I don't think you understand).	Ela nunca vai ir embora (eu não acho que você entende).
In the night when she comes crawling.	Na noite, quando ela vem rastejando.
Dollar bills and tears keep falling down her face.	Notas de dólar e lágrimas continuam caindo pelo rosto dela.
She'll never walk away (I don't think you understand).	Ela nunca vai ir embora (eu não acho que você entende).
I don't think you understand.	Eu não acho que você entende.
I don't think you understand.	Eu não acho que você entende.
I don't think you understand.	Eu não acho que você entende.
I don't think you understand.	Eu não acho que você entende.
Infections Of a Different Kind	Infecções De Um Tipo Diferente
It's a feeling growing old with time.	É um sentimento que envelhece com o tempo.
Like a restless in the leaves calming down.	Como o balançar das folhas desaparecendo.
The world is a hole and we all seem to fall.	O mundo é um buraco e parece que todos nós caímos.
Down under.	Lá dentro.
And the universe is growing tall.	O universo está se tornando um muro.
And we are caving into dreams of the space.	E nós estamos loucos pelos sonhos do espaço.
Unfolding our arms cannot do any harm.	Abrir nossos braços não faz nenhum mal.
Violent contractions.	Contrações violentas.
And if there is a God, would we even know his name?.	E se houver um Deus, saberíamos ao menos o nome dele?.
And if there is a God, I think he would shake his head.	E se houver um Deus, eu acho que ele balançaria a cabeça.
And turn away.	E viraria o rosto.
So belong to us all.	Então cabe a nós.
Be God in the shape of a girl.	Ser Deus no corpo de um garota.
Who walks this world.	Que anda por este mundo.
And I beg, I beg to be drained.	E eu imploro, imploro para ser drenada.
From the pain I have soaked myself in, so I can stay.	Da dor na qual me afundei, para eu poder ficar.
Okay, and more than okay for a while.	Bem, e mais do que bem por um tempo.
For a while, for a while.	Por um tempo, por um tempo.
Infections of a different kind.	Infecções de um tipo diferente.
The world has been attacked by our pain.	O mundo foi atacado por nossa dor.
If I am the world then why would I hurt.	Se eu sou o mundo, então por que eu machucaria.
All that is living?.	Tudo o que está vivo?.
And if there is a God, would he then believe in us?.	E se houver um Deus, ele acreditaria em nós?.
And if there is a God, I think he can't hear all of us.	E se houver um Deus, eu acho que ele não pode ouvir todos nós.
Belong to us all.	Cabe a nós.
Be God in the shape of a girl.	Ser Deus no corpo de um garota.
Who walks this world.	Que anda por este mundo.
And I beg, I beg to be drained.	E eu imploro, imploro para ser drenada.
From the pain I have soaked myself in, so I can stay.	Da dor na qual me afundei, para eu poder ficar.
Okay, and more than okay for a while.	Bem, e mais do que bem por um tempo.
For a while, for a while.	Por um tempo, por um tempo.
This is the breath, this is the breath.	Esta é a respiração, esta é a respiração.
It Happened Quiet	Aconteceu Silenciosamente
Eyes blue and hollow.	Olhos azuis e vazios.
As it rains against their will.	À medida que chove contra a vontade deles.
Feathers falling out of a pillow.	Penas caindo do travesseiro.
As if time's standing still.	Como se o tempo estivesse parado.
I can’t remember much more.	Não consigo lembrar muito mais.
But I know it happened quiet.	Mas sei que aconteceu silenciosamente.
So quiet.	Tão silenciosamente.
Words falling out through the window.	Palavras saem pela janela.
All that remains is a silent call.	E tudo o que resta é um chamado silencioso.
Is the Earth colored red?.	A Terra é vermelha?.
As I land like a flower on the meadow.	Enquanto eu pouso como uma flor no prado.
Love is wild.	O amor é selvagem.
You fell apart.	E você se partiu.
Like a stone can be broken into sand.	Como uma pedra que vira areia.
A thousand pieces.	Mil pedaços.
Spread across a crying land.	Espalhados por uma terra moribunda.
And you can’t remember that day.	E você não consegue se lembrar daquele dia.
But you know it happened quiet.	Mas você sabe que aconteceu silenciosamente.
So quiet.	Tão silenciosamente.
Words falling out through the window.	Palavras saem pela janela.
All that remains is a silent call.	E tudo o que resta é um chamado silencioso.
Is the Earth colored red?.	A Terra é vermelha?.
As I land like a flower on the meadow.	Enquanto eu pouso como uma flor no prado.
Love is wild.	O amor é selvagem.
Are your dreams as dead as they seem?.	Seus sonhos são tão mortos quanto parecem?.
Are your dreams as dead as they seem?.	Seus sonhos são tão mortos quanto parecem?.
Don’t you speak over my voice.	Não fale por cima da minha voz.
I will return from the shadows.	Retornarei das sombras.
And I’ll bleed in your bed.	E eu sangrarei na sua cama.
Turn it red.	A deixarei vermelha.
Like the ground outside your window.	Como o chão fora da sua janela.
Love is wild.	O amor é selvagem.
Love is wild.	O amor é selvagem.
Love is wild.	O amor é selvagem.
Love is wild.	O amor é selvagem.
Love is wild.	O amor é selvagem.
Life On Mars?	Vida Em Marte?
It's a God awful small affair.	É um horrível caso horrível de Deus.
To the girl with the mousey hair.	Para a garota com o cabelo do mouse.
But her mummy is yelling: No!.	Mas sua mãe está gritando: Não!.
And her daddy has told her to go.	E seu pai lhe disse para ir.
But her friend is nowhere to be seen.	Mas sua amiga não é onde ser visto.
Now she walks through her sunken dream.	Agora ela atravessa seu sonho afundado.
To the seats with the clearest view.	Para os assentos com a visão mais clara.
And she's hooked to the silver screen.	E ela está viciada na tela de prata.
But the film is a sadd'ning bore.	Mas o filme está triste demais.
'Cause she've seen it ten times or more.	Pois ela a viveu dez vezes ou mais.
She could spit in the eyes of fools.	Ela podia cuspir nos olhos dos tolos.
As they ask her to focus on.	Ao pedir-lhe que se concentre em.
Sailors fighting in the dance hall.	Marinheiros que lutam no salão de dança.
Oh man!.	Oh cara!.
Look at those cavemen go.	Olhe para aqueles homens das cavernas vão.
It's the freakiest show.	É o show mais estranho.
Take a look at the lawman.	Dê uma olhada no homem da lei.
Beating up the wrong guy.	Batendo o cara errado.
Oh man!.	Oh cara!.
Wonder if he'll ever know.	Gostaria de saber se ele nunca saberá.
He's on the best selling show.	Ele está no show mais vendido.
Is there life on Mars?.	Existe vida em Marte?.
It's on America's tortured brow.	Está na testa torta da América.
That Mickey Mouse has grown up a cow.	Que Mickey Mouse cresceu uma vaca.
Now the workers have struck for fame.	Agora, os trabalhadores atingiram fama.
'Cause Lennon's on sale again.	Porque Lennon está à venda de novo.
See the mice with the million hordes.	Veja os ratos em seus milhões de hordas.
From Ibiza to the Norfolk Broads.	De Ibeza para Norfolk Broads.
Rule Britannia is out of bounds.	Rule Britannia está fora dos limites.
To my mother, my dog, and clowns.	Para minha mãe, meu cachorro e palhaços.
But the film is a sadd'ning bore.	Mas o filme é triste.
'Cause I've writ it ten times or more.	Porque eu escrevi isso dez vezes ou mais.
It's about to be writ again.	Está prestes a ser salvo novamente.
As I ask you to focus on.	Como peço que você se concentre em.
Sailors fighting in the dance hall.	Marinheiros que lutam no salão de dança.
Oh man!.	Oh cara!.
Look at those cavemen go.	Olhe para aqueles homens das cavernas vão.
It's the freakiest show.	É o show mais estranho.
Take a look at the lawman.	Dê uma olhada no lawman.
Beating up the wrong guy.	Batendo o cara errado.
Oh man!.	Oh cara!.
Wonder if he'll ever know.	Gostaria de saber se ele nunca saberá.
He's on the best selling show.	Ele está no show mais vendido.
Is there life on Mars?.	Existe vida em Marte?.
Little Boy In The Grass	Garotinho Na Grama
I will tell you the story about the little boy I found in the grass.	Vou te contar a história do garotinho que eu encontrei na grama.
Tired soul as he told me he could hear the children wanting to pass.	Uma alma cansada, que me dizia que ele podia ouvir as crianças querendo passar.
Sounds of laughter in the air.	Sons de riso no ar.
Still today we hear them.	Até hoje você pode ouvi-los.
Finally we are over it all.	Finalmente nós superamos tudo.
Finally we are over, over it all.	Finalmente nós superamos tudo.
Let them run.	Deixe eles fugirem.
Let them run from the violence.	Deixe eles fugirem da violência.
The world is way too cold and bright for their eyes.	O mundo é muito frio e brilhante pros seus olhos.
Little boy runs beside them.	O garotinho corre ao lado deles.
As they take his hand and jump to the sky.	Enquanto pegam sua mão e pulam para o céu.
Still today you hear him.	Até hoje você pode ouvi-lo.
Finally I am over, over it all.	Finalmente eu superei, superei tudo.
Finally I am over, over it all.	Finalmente eu superei, superei tudo.
When will my healing come?.	Quando minha cura vai surgir?.
When will my healing come?.	Quando minha cura vai surgir?.
Alone, sinking like a stone.	Sozinha, afundando como uma pedra.
When will my healing come?.	Quando minha cura vai surgir?.
Alone.	Sozinha.
Finally I am over it all.	Finalmente eu superei tudo.
Finally I am over it all.	Finalmente eu superei tudo.
Finally I am, am.	Finalmente eu, eu.
Lucky	Sortuda
When, when I am down.	Quando estou para baixo.
I lay my hands upon this ground.	Eu coloco minhas mãos sobre o chão.
For the thousandth time.	Pela milésima vez.
I call him in, his earth is mine.	Eu mando-o entrar, sua terra é minha.
Before I make the offering.	Antes de fazer a oferenda.
Remember all the faces that I've seen.	Lembro de todos os rostos que eu já vi.
Now all the marks have settled on my skin.	Agora todas as marcas se instalaram na minha pele.
From all the different places that I've been.	De todos os diferentes lugares que eu já estive.
That I've been.	Que eu estive.
And I feel the light for the very first time.	E eu sinto a luz pela primeira vez.
Not anybody knows that I am lucky to be alive.	Nem ninguém sabe que tenho sorte por estar viva.
And I feel the light for the very first time.	E eu sinto a luz pela primeira vez.
Not anybody knows that I am lucky to be alive.	Nem ninguém sabe que tenho sorte por estar viva.
War inside my mind.	Guerra dentro da minha mente.
Behind my eyes, is coming down.	Por trás dos meus olhos, está vindo.
For the thousandth time.	E pela milésima vez.
I feel too numb to even mind.	Me sinto dormente demais para sequer tentar.
Before I make the offering.	Antes de fazer a oferenda.
Remember all the faces that I've seen.	Lembro de todos os rostos que eu já vi.
Now all the marks have settled on my skin.	Agora todas as marcas se instalaram na minha pele.
From all the different places that I've been.	De todos os diferentes lugares que eu já estive.
That I've been.	Que eu estive.
And I feel the light for the very first time.	E eu sinto a luz pela primeira vez.
Not anybody knows that I am lucky to be alive.	Nem ninguém sabe que tenho sorte por estar viva.
And I feel the light for the very first time.	E eu sinto a luz pela primeira vez.
Not anybody knows that I am lucky to be alive.	Nem ninguém sabe que tenho sorte por estar viva.
I, I don't know where I am, where I'll go.	Eu não sei onde estou, ou onde eu vou.
Where to even begin when I know.	Ou mesmo onde começar quando eu sei.
What lies behind makes no sense in my mind.	O que está por trás não faz sentido na minha mente.
But I know that it's time to let go.	Mas eu sei que é hora de deixar ir.
And I feel the light for the very first time.	E eu sinto a luz pela primeira vez.
Not anybody knows that I am lucky to be alive.	Nem ninguém sabe que tenho sorte por estar viva.
And I feel the light for the very first time.	E eu sinto a luz pela primeira vez.
Not anybody knows that I am lucky to be alive.	Nem ninguém sabe que tenho sorte por estar viva.
I'm lucky to be alive.	Eu tenho sorte de estar viva.
I'm lucky to be alive.	Eu tenho sorte de estar viva.
Mothership	Mothership
Am I home? Mmm.	Estou em casa? Mmm.
Mmm, mmm (Ooh, ooh).	Mmm, mmm (Ooh, ooh).
Mmm, mmm (Ooh).	Mmm, mmm (Ooh).
Oh, ah.	Ah ah.
